Date,Regime,AccelZ,DivZ,SignalStrength
2021-02-24,STABLE,0.0,0.0,0.0
2021-02-25,STABLE,0.0,0.0,0.0
2021-02-26,FRAGILE_ACCEL,1.6061,0.0,1.6061
2021-03-01,FRAGILE_DIV,0.0,2.2764,2.2764
2021-03-02,STABLE,0.0,0.8345,0.8345
2021-03-03,FRAGILE_DIV,0.0,3.2354,3.2354
2021-03-04,STABLE,0.0,0.0,0.0
2021-03-05,STABLE,0.0,0.0,0.0
2021-03-08,FRAGILE_ACCEL,1.3752,0.0,1.3752
2021-03-09,FRAGILE_DIV,0.0,1.5458,1.5458
2021-03-10,STABLE,0.0,0.0,0.0
2021-03-11,STABLE,0.0,0.7618,0.7618
2021-03-12,FRAGILE_DIV,0.8258,1.4211,1.4211
2021-03-15,FRAGILE_DIV,0.0,2.9715,2.9715
2021-03-16,STABLE,0.0,0.9532,0.9532
2021-03-17,STABLE,0.0,0.9528,0.9528
2021-03-18,STABLE,0.0,0.0,0.0
2021-03-19,STABLE,0.0,0.0,0.0
2021-03-22,STABLE,0.9483,0.172,0.9483
2021-03-23,STABLE,0.0,0.0,0.0
2021-03-24,FRAGILE_ACCEL,1.6131,0.0,1.6131
2021-03-25,STABLE,0.0,0.0,0.0
2021-03-26,FRAGILE_DIV,0.0,1.6012,1.6012
2021-03-29,STABLE,0.0285,0.0,0.0285
2021-03-30,FRAGILE_BOTH,2.8054,4.3744,4.3744
2021-03-31,FRAGILE_DIV,0.0,4.2931,4.2931
2021-04-01,FRAGILE_DIV,0.0,3.1738,3.1738
2021-04-05,FRAGILE_DIV,0.0,2.7695,2.7695
2021-04-06,FRAGILE_DIV,0.0,1.271,1.271
2021-04-07,FRAGILE_BOTH,1.2283,1.812,1.812
2021-04-08,FRAGILE_BOTH,2.9471,2.7575,2.9471
2021-04-09,FRAGILE_BOTH,5.2687,1.5177,5.2687
2021-04-12,FRAGILE_DIV,0.0,3.1471,3.1471
2021-04-13,FRAGILE_DIV,0.0,2.6356,2.6356
2021-04-14,FRAGILE_DIV,0.8268,5.2487,5.2487
2021-04-15,FRAGILE_DIV,0.0,3.6511,3.6511
2021-04-16,FRAGILE_ACCEL,1.974,0.0,1.974
2021-04-19,FRAGILE_DIV,0.0,3.6302,3.6302
2021-04-20,STABLE,0.0,0.0,0.0
2021-04-21,FRAGILE_DIV,0.0,3.4453,3.4453
2021-04-22,FRAGILE_DIV,0.0,4.5969,4.5969
2021-04-23,STABLE,0.0,0.0,0.0
2021-04-26,FRAGILE_DIV,0.0,3.7206,3.7206
2021-04-27,FRAGILE_DIV,0.0,3.0348,3.0348
2021-04-28,FRAGILE_BOTH,3.5133,1.7408,3.5133
2021-04-29,STABLE,0.0,0.0,0.0
2021-04-30,STABLE,0.0,0.9751,0.9751
2021-05-03,FRAGILE_ACCEL,2.3722,0.4284,2.3722
2021-05-04,FRAGILE_BOTH,2.2111,1.4386,2.2111
2021-05-05,STABLE,0.3006,0.5084,0.5084
2021-05-06,STABLE,0.5244,0.4952,0.5244
2021-05-07,FRAGILE_DIV,0.5157,2.8571,2.8571
2021-05-10,FRAGILE_BOTH,1.7471,1.0708,1.7471
2021-05-11,FRAGILE_DIV,0.0,1.4596,1.4596
2021-05-12,STABLE,0.0,0.9415,0.9415
2021-05-13,STABLE,0.0,0.6893,0.6893
2021-05-14,FRAGILE_BOTH,2.7079,1.947,2.7079
2021-05-17,FRAGILE_ACCEL,2.1663,0.6539,2.1663
2021-05-18,FRAGILE_BOTH,2.466,1.1194,2.466
2021-05-19,FRAGILE_DIV,0.0,1.0451,1.0451
2021-05-20,STABLE,0.5768,0.6937,0.6937
2021-05-21,FRAGILE_ACCEL,1.4261,0.6195,1.4261
2021-05-24,FRAGILE_DIV,0.0,1.3044,1.3044
2021-05-25,STABLE,0.9181,0.4477,0.9181
2021-05-26,FRAGILE_DIV,0.0,2.1505,2.1505
2021-05-27,FRAGILE_BOTH,1.1999,1.5335,1.5335
2021-05-28,FRAGILE_BOTH,3.7001,2.813,3.7001
2021-05-31,STABLE,0.5537,0.0,0.5537
2021-06-01,FRAGILE_DIV,0.0,2.7456,2.7456
2021-06-02,STABLE,0.8392,0.212,0.8392
2021-06-03,STABLE,0.0,0.7155,0.7155
2021-06-04,FRAGILE_DIV,0.0,2.795,2.795
2021-06-07,FRAGILE_ACCEL,1.4027,0.0,1.4027
2021-06-08,FRAGILE_ACCEL,3.7146,0.0,3.7146
2021-06-09,FRAGILE_BOTH,2.3649,2.2667,2.3649
2021-06-10,STABLE,0.8164,0.0,0.8164
2021-06-11,FRAGILE_DIV,0.0,2.0179,2.0179
2021-06-14,FRAGILE_BOTH,3.2542,1.319,3.2542
2021-06-15,FRAGILE_BOTH,3.8711,2.3683,3.8711
2021-06-16,FRAGILE_DIV,0.9422,2.9588,2.9588
2021-06-17,FRAGILE_ACCEL,1.2801,0.0,1.2801
2021-06-18,STABLE,0.1954,0.0,0.1954
2021-06-21,STABLE,0.3101,0.4997,0.4997
2021-06-22,FRAGILE_DIV,0.0,1.4345,1.4345
2021-06-23,FRAGILE_ACCEL,1.5446,0.4003,1.5446
2021-06-24,FRAGILE_BOTH,1.213,2.8457,2.8457
2021-06-25,FRAGILE_DIV,0.2285,3.562,3.562
2021-06-28,FRAGILE_ACCEL,1.7493,0.8076,1.7493
2021-06-29,FRAGILE_BOTH,2.7257,6.7247,6.7247
2021-06-30,FRAGILE_ACCEL,2.8803,0.0,2.8803
2021-07-01,STABLE,0.0,0.5846,0.5846
2021-07-02,STABLE,0.5121,0.6602,0.6602
2021-07-05,STABLE,0.0177,0.0,0.0177
2021-07-06,FRAGILE_DIV,0.0,2.8165,2.8165
2021-07-07,STABLE,0.0,0.28,0.28
2021-07-08,STABLE,0.0,0.0847,0.0847
2021-07-09,STABLE,0.7212,0.4729,0.7212
2021-07-12,STABLE,0.4117,0.0,0.4117
2021-07-13,FRAGILE_BOTH,2.1626,2.2698,2.2698
2021-07-14,STABLE,0.0,0.4614,0.4614
2021-07-15,STABLE,0.3161,0.0,0.3161
2021-07-16,STABLE,0.0,0.7379,0.7379
2021-07-19,STABLE,0.0,0.3546,0.3546
2021-07-20,STABLE,0.0,0.0459,0.0459
2021-07-21,FRAGILE_BOTH,2.5081,1.0822,2.5081
2021-07-22,FRAGILE_ACCEL,2.2193,0.4942,2.2193
2021-07-23,FRAGILE_DIV,0.0,3.9339,3.9339
2021-07-26,STABLE,0.7406,0.0,0.7406
2021-07-27,STABLE,0.0638,0.0,0.0638
2021-07-28,FRAGILE_DIV,0.0,1.4206,1.4206
2021-07-29,STABLE,0.5125,0.0806,0.5125
2021-07-30,FRAGILE_DIV,0.0,2.362,2.362
2021-08-02,STABLE,0.0,0.3296,0.3296
2021-08-03,STABLE,0.0,0.1825,0.1825
2021-08-04,FRAGILE_DIV,0.0,1.1889,1.1889
2021-08-05,STABLE,0.6718,0.4715,0.6718
2021-08-06,STABLE,0.2772,0.9819,0.9819
2021-08-09,STABLE,0.8779,0.7185,0.8779
2021-08-10,FRAGILE_BOTH,1.5818,1.8353,1.8353
2021-08-11,FRAGILE_BOTH,2.4897,2.3928,2.4897
2021-08-12,FRAGILE_DIV,0.0,2.2856,2.2856
2021-08-13,FRAGILE_DIV,0.6075,1.2231,1.2231
2021-08-16,STABLE,0.0,0.0897,0.0897
2021-08-17,STABLE,0.0,0.7208,0.7208
2021-08-18,FRAGILE_DIV,0.0,2.0882,2.0882
2021-08-19,FRAGILE_BOTH,1.0251,1.3654,1.3654
2021-08-20,FRAGILE_DIV,0.1145,1.192,1.192
2021-08-23,STABLE,0.7243,0.256,0.7243
2021-08-24,STABLE,0.3709,0.7581,0.7581
2021-08-25,FRAGILE_BOTH,1.0165,2.1363,2.1363
2021-08-26,FRAGILE_DIV,0.1427,1.0389,1.0389
2021-08-27,STABLE,0.0,0.8603,0.8603
2021-08-30,STABLE,0.3963,0.4855,0.4855
2021-08-31,FRAGILE_DIV,0.0286,1.3214,1.3214
2021-09-01,FRAGILE_DIV,0.0,2.7715,2.7715
2021-09-02,FRAGILE_DIV,0.0,3.6672,3.6672
2021-09-03,FRAGILE_BOTH,2.9963,1.1198,2.9963
2021-09-06,FRAGILE_DIV,0.0,3.2439,3.2439
2021-09-07,FRAGILE_ACCEL,1.9621,0.7366,1.9621
2021-09-08,STABLE,0.4233,0.0,0.4233
2021-09-09,STABLE,0.0,0.331,0.331
2021-09-10,FRAGILE_ACCEL,1.5214,0.0,1.5214
2021-09-13,STABLE,0.0,0.0,0.0
2021-09-14,STABLE,0.0868,0.3643,0.3643
2021-09-15,STABLE,0.0,0.4779,0.4779
2021-09-16,STABLE,0.0,0.0,0.0
2021-09-17,STABLE,0.2356,0.0,0.2356
2021-09-20,STABLE,0.0,0.7769,0.7769
2021-09-21,STABLE,0.235,0.0,0.235
2021-09-22,STABLE,0.0,0.0,0.0
2021-09-23,STABLE,0.0,0.0,0.0
2021-09-24,STABLE,0.0,0.2516,0.2516
2021-09-27,STABLE,0.0,0.0,0.0
2021-09-28,STABLE,0.0,0.0,0.0
2021-09-29,STABLE,0.2883,0.0,0.2883
2021-09-30,STABLE,0.0,0.0,0.0
2021-10-01,FRAGILE_DIV,0.0,2.0614,2.0614
2021-10-04,FRAGILE_DIV,0.0,1.0128,1.0128
2021-10-05,STABLE,0.0,0.8384,0.8384
2021-10-06,STABLE,0.0,0.8703,0.8703
2021-10-07,FRAGILE_DIV,0.3049,1.773,1.773
2021-10-08,FRAGILE_ACCEL,1.4081,0.0,1.4081
2021-10-11,STABLE,0.9411,0.7878,0.9411
2021-10-12,FRAGILE_DIV,0.0356,1.3335,1.3335
2021-10-13,FRAGILE_BOTH,1.0209,1.0616,1.0616
2021-10-14,STABLE,0.0,0.0112,0.0112
2021-10-15,STABLE,0.7287,0.0,0.7287
2021-10-18,STABLE,0.18,0.2309,0.2309
2021-10-19,STABLE,0.7195,0.7462,0.7462
2021-10-20,FRAGILE_ACCEL,1.1914,0.9974,1.1914
2021-10-21,STABLE,0.7702,0.3611,0.7702
2021-10-22,STABLE,0.0931,0.4596,0.4596
2021-10-25,STABLE,0.0,0.0,0.0
2021-10-26,STABLE,0.5077,0.5619,0.5619
2021-10-27,STABLE,0.0,0.0,0.0
2021-10-28,STABLE,0.0,0.6252,0.6252
2021-10-29,STABLE,0.0,0.1967,0.1967
2021-11-01,FRAGILE_DIV,0.0,2.4413,2.4413
2021-11-02,STABLE,0.5665,0.0266,0.5665
2021-11-03,STABLE,0.0797,0.804,0.804
2021-11-04,STABLE,0.8362,0.8161,0.8362
2021-11-05,STABLE,0.9205,0.6078,0.9205
2021-11-08,STABLE,0.0,0.4679,0.4679
2021-11-09,FRAGILE_ACCEL,2.8943,0.8704,2.8943
2021-11-10,STABLE,0.5558,0.4755,0.5558
2021-11-11,FRAGILE_DIV,0.0721,3.0654,3.0654
2021-11-12,FRAGILE_DIV,0.0,1.5513,1.5513
2021-11-15,FRAGILE_BOTH,2.0747,3.3293,3.3293
2021-11-16,STABLE,0.0,0.2303,0.2303
2021-11-17,STABLE,0.2583,0.6186,0.6186
2021-11-18,FRAGILE_DIV,0.716,2.9517,2.9517
2021-11-19,FRAGILE_BOTH,1.4594,2.8136,2.8136
2021-11-22,FRAGILE_ACCEL,1.2534,0.9377,1.2534
2021-11-23,STABLE,0.1379,0.9044,0.9044
2021-11-24,FRAGILE_DIV,0.0,1.0621,1.0621
2021-11-25,STABLE,0.0,0.0,0.0
2021-11-26,STABLE,0.0,0.0,0.0
2021-11-29,FRAGILE_DIV,0.0577,1.0917,1.0917
2021-11-30,STABLE,0.0,0.374,0.374
2021-12-01,STABLE,0.0,0.9058,0.9058
2021-12-02,STABLE,0.0,0.0,0.0
2021-12-03,STABLE,0.2782,0.0,0.2782
2021-12-06,STABLE,0.0,0.0,0.0
2021-12-07,FRAGILE_DIV,0.0,2.3247,2.3247
2021-12-08,STABLE,0.0,0.5848,0.5848
2021-12-09,FRAGILE_ACCEL,2.2154,0.9312,2.2154
2021-12-10,FRAGILE_DIV,0.0,1.0007,1.0007
2021-12-13,FRAGILE_DIV,0.0,1.1603,1.1603
2021-12-14,STABLE,0.0,0.5539,0.5539
2021-12-15,STABLE,0.0,0.7573,0.7573
2021-12-16,STABLE,0.0,0.9805,0.9805
2021-12-17,STABLE,0.0,0.543,0.543
2021-12-20,STABLE,0.0,0.2874,0.2874
2021-12-21,FRAGILE_DIV,0.0,2.0181,2.0181
2021-12-22,STABLE,0.0,0.8535,0.8535
2021-12-23,FRAGILE_DIV,0.0,1.2021,1.2021
2021-12-27,FRAGILE_BOTH,2.2633,1.7931,2.2633
2021-12-28,STABLE,0.4146,0.7298,0.7298
2021-12-29,FRAGILE_DIV,0.0,1.2818,1.2818
2021-12-30,FRAGILE_BOTH,3.6724,3.4878,3.6724
2021-12-31,STABLE,0.0,0.1509,0.1509
2022-01-03,STABLE,0.0,0.6663,0.6663
2022-01-04,STABLE,0.5584,0.9684,0.9684
2022-01-05,FRAGILE_DIV,0.994,1.2659,1.2659
